ipa,synthv,language
ä,a,Japanese
i,i,Japanese
ɯ̹,u,Japanese
e̞,e,Japanese
o̞,o,Japanese
k,k,Japanese
kʲ,ky,Japanese
s,s,Japanese
ɕ,sh,Japanese
t,t,Japanese
tʲ,ty,Japanese
t͡ɕ,ch,Japanese
t͡s,ts,Japanese
n,n,Japanese
nʲ,ny,Japanese
h,h,Japanese
çʲ,hy,Japanese
ɸ,f,Japanese
m,m,Japanese
mʲ,my,Japanese
j,y,Japanese
ɾ,r,Japanese
ɾʲ,ry,Japanese
w,w,Japanese
g,g,Japanese
gʲ,gy,Japanese
d͡z,z,Japanese
d͡ʑ,j,Japanese
d,d,Japanese
dʲ,dy,Japanese
b,b,Japanese
bʲ,by,Japanese
p,p,Japanese
pʲ,py,Japanese
ŋ,N,Japanese
kʷ,kw,Japanese
gʷ,gw,Japanese
β,v,Japanese
,,
ɑ,aa,English
æ,ae,English
ʌ,ah,English
ɔ,ao,English
aʊ,aw,English
ə,ax,English
aɪ,ay,English
ɛ,eh,English
ɚ,er,English
eɪ,ey,English
ɪ,ih,English
i,iy,English
oʊ,ow,English
ɔɪ,oy,English
ʊ,uh,English
u,uw,English
b,b,English
tʃ,ch,English
ʧ,ch,English
d,d,English
ð,dh,English
dɹ,dr,English
ɾ,dx,English
f,f,English
ɡ,g,English
h,hh,English
dʒ,jh,English
k,k,English
l,l,English
m,m,English
n,n,English
ŋ,ng,English
p,p,English
ɹ,r,English
s,s,English
ʃ,sh,English
t,t,English
θ,th,English
tɹ,tr,English
v,v,English
w,w,English
j,y,English
z,z,English
ʒ,zh,English
,,
p,p,Mandarin
pʰ,ph,Mandarin
m,m,Mandarin
f,f,Mandarin
t,t,Mandarin
tʰ,th,Mandarin
n,n,Mandarin
l,l,Mandarin
t͡s,ts,Mandarin
t͡sʰ,tsh,Mandarin
s,s,Mandarin
ʈ͡ʂ,ts`,Mandarin
ʈ͡ʂʰ,ts`h,Mandarin
ʂ,s`,Mandarin
